Firmenname,Straße,Hausnummer,Postleitzahl,Stadt,Bundesland,Land,Telefon,Website,Primäre Kategorie,Sekundäre Kategorie,Beschreibung,E-Mail,Öffnungszeiten Mo,Öffnungszeiten Di,Öffnungszeiten Mi,Öffnungszeiten Do,Öffnungszeiten Fr,Öffnungszeiten Sa,Öffnungszeiten So,Service-Gebiet
"ZOE Solar Berlin","Friedrichstraße","123","10117","Berlin","Berlin","DE","+49 30 12345678","https://zoe-solar.de/berlin","Solar Panel Installation","Solar Energy Contractor","Professionelle Solaranlagen Installation in Berlin und Umgebung. Wir bieten Beratung, Planung und Installation von Photovoltaikanlagen für Privatkunden und Gewerbe.","berlin@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Berlin, Brandenburg"
"ZOE Solar Hamburg","Rathausstraße","1","20095","Hamburg","Hamburg","DE","+49 40 12345678","https://zoe-solar.de/hamburg","Solar Panel Installation","Solar Energy Contractor","Solaranlagen Experten für Hamburg und die Metropolregion. Ihre erste Adresse für Solarenergie in Norddeutschland mit über 10 Jahren Erfahrung.","hamburg@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Hamburg, Schleswig-Holstein"
"ZOE Solar München","Marienplatz","1","80331","München","Bayern","DE","+49 89 12345678","https://zoe-solar.de/muenchen","Solar Panel Installation","Solar Energy Contractor","Ihr Solarpartner in München und Oberbayern. Expertise bei der Installation von Photovoltaikanlagen für Privatkunden und Gewerbe. Zertifizierter Fachbetrieb.","muenchen@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","München, Oberbayern"
"ZOE Solar Köln","Domkloster","4","50667","Köln","Nordrhein-Westfalen","DE","+49 221 12345678","https://zoe-solar.de/koeln","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Köln und das Rheinland. Wir sind Ihr lokaler Partner für Photovoltaik und Speichersysteme. Qualität made in Germany.","koeln@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Köln, Rheinland"
"ZOE Solar Frankfurt am Main","Römerberg","1","60311","Frankfurt am Main","Hessen","DE","+49 69 12345678","https://zoe-solar.de/frankfurt","Solar Panel Installation","Solar Energy Contractor","Solarlösungen für Frankfurt und Rhein-Main. Professionelle Beratung und Installation von Solaranlagen. Finanzierungsangebote verfügbar.","frankfurt@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Frankfurt, Rhein-Main"
"ZOE Solar Stuttgart","Königstraße","1","70173","Stuttgart","Baden-Württemberg","DE","+49 711 12345678","https://zoe-solar.de/stuttgart","Solar Panel Installation","Solar Energy Contractor","Solaranlagen in Stuttgart und Baden-Württemberg. Qualitätsarbeit bei der Installation von Photovoltaikanlagen. TÜV-geprüfte Anlagen.","stuttgart@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Stuttgart, Baden-Württemberg"
"ZOE Solar Düsseldorf","Königsallee","1","40212","Düsseldorf","Nordrhein-Westfalen","DE","+49 211 12345678","https://zoe-solar.de/duesseldorf","Solar Panel Installation","Solar Energy Contractor","Solarpartner für Düsseldorf und NRW. Wir realisieren Ihre Solaranlage von der Planung bis zur Installation. All-inclusive Service.","duesseldorf@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Düsseldorf, NRW"
"ZOE Solar Dortmund","Westenhellweg","1","44137","Dortmund","Nordrhein-Westfalen","DE","+49 231 12345678","https://zoe-solar.de/dortmund","Solar Panel Installation","Solar Energy Contractor","Solaranlagen Experten für Dortmund und das Ruhrgebiet. Ihre lokale Adresse für Solarenergie im Herzen des Ruhrgebiets. Schnelle Installation.","dortmund@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Dortmund, Ruhrgebiet"
"ZOE Solar Essen","Kettwiger Straße","1","45127","Essen","Nordrhein-Westfalen","DE","+49 201 12345678","https://zoe-solar.de/essen","Solar Panel Installation","Solar Energy Contractor","Solarlösungen für Essen und das Ruhrgebiet. Professionelle Photovoltaikanlagen für Zuhause und Gewerbe. Kostenlose Solarberatung.","essen@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Essen, Ruhrgebiet"
"ZOE Solar Leipzig","Markt","1","04109","Leipzig","Sachsen","DE","+49 341 12345678","https://zoe-solar.de/leipzig","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Leipzig und Sachsen. Wir bringen saubere Energie auf Ihr Dach in der Messestadt. Modernste Technologie.","leipzig@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Leipzig, Sachsen"
