"Name","Address Line 1","City","State","ZIP","Phone","Website","Primary Category","Description","Service Radius (km)","Opening Hours Monday","Opening Hours Tuesday","Opening Hours Wednesday","Opening Hours Thursday","Opening Hours Friday","Opening Hours Saturday","Opening Hours Sunday","Latitude","Longitude","Labels","Ad Words Location Extensions","Location Group Name"
"ZOE Solar Königs Wusterhausen","Königsplatz 1","Königs Wusterhausen","Brandenburg","15711","+49 3375 12345678","https://www.zoe-solar.de/standort/koenigs-wusterhausen","Solaranlagenservice","ZOE Solar ist Ihr führender Solaranlagen-Dienstleister in Königs Wusterhausen und der umliegenden Dahme-Spreewald Region. Wir spezialisieren uns auf die Installation, Wartung und Optimierung von Photovoltaik-Anlagen für Privathaushalte und Gewerbe. A","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.3053","13.6361","","true","Berlin-Brandenburg"
"ZOE Solar Falkensee","Schloßplatz 1","Falkensee","Brandenburg","14612","+49 3322 12345678","https://www.zoe-solar.de/standort/falkensee","Solaranlagenservice","ZOE Solar ist Ihr Experte für Photovoltaik-Lösungen in Falkensee und dem Havelland. Wir bieten umfassende Dienstleistungen von der Planung bis zur Inbetriebnahme von Solaranlagen für Eigenheime und Gewerbeobjekte. Als regionaler Spezialist verstehen ","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.5406","13.0941","","true","Berlin-Brandenburg"
"ZOE Solar Oranienburg","Friedrich-Ebert-Straße 1","Oranienburg","Brandenburg","16515","+49 3301 12345678","https://www.zoe-solar.de/standort/oranienburg","Solaranlagenservice","Als Ihr Solarfachbetrieb in Oranienburg und Oberhavel bietet ZOE Solar professionelle Photovoltaik-Installationen und Wartungsdienstleistungen. Wir realisieren Solaranlagen für alle Dachtypen und garantieren höchste Qualität bei Montage und Material.","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.7565","13.2544","","true","Berlin-Brandenburg"
"ZOE Solar Nauen","Bahnhofstraße 1","Nauen","Brandenburg","14621","+49 3321 12345678","https://www.zoe-solar.de/standort/nauen","Solaranlagenservice","ZOE Solar ist Ihr lokaler Partner für Solarlösungen in Nauen und Westhavelland. Wir sind auf die Installation und Wartung von Photovoltaik-Anlagen spezialisiert und bieten individuelle Beratung für jede Gebäudeart. Als regional ansässiges Unternehmen","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.6038","12.8815","","true","Berlin-Brandenburg"
"ZOE Solar Cottbus","Karl-Marx-Straße 1","Cottbus","Brandenburg","03046","+49 355 12345678","https://www.zoe-solar.de/standort/cottbus","Solaranlagenservice","ZOE Solar ist Ihr führender Anbieter für Photovoltaik-Anlagen in Cottbus und der Lausitz. Wir bieten komplette Solarlösungen von der Planung bis zur Wartung für Privatkunden und Unternehmen. Unsere erfahrenen Fachkräfte garantieren professionelle Ins","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","51.7579","14.3417","","true","Berlin-Brandenburg"
"ZOE Solar Brandenburg an der Havel","Am Markt 1","Brandenburg an der Havel","Brandenburg","14770","+49 3381 12345678","https://www.zoe-solar.de/standort/brandenburg-havel","Solaranlagenservice","ZOE Solar ist Ihr Experte für Solarenergie in Brandenburg an der Havel und Umgebung. Wir realisieren moderne Photovoltaik-Anlagen für Wohnhäuser, Gewerbe und landwirtschaftliche Betriebe. Als regionaler Fachbetrieb kennen wir die lokalen Anforderunge","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.4136","12.5499","","true","Berlin-Brandenburg"
"ZOE Solar Frankfurt (Oder)","Karl-Marx-Straße 1","Frankfurt (Oder)","Brandenburg","15230","+49 335 12345678","https://www.zoe-solar.de/standort/frankfurt-oder","Solaranlagenservice","ZOE Solar ist Ihr Fachspezialist für Photovoltaik in Frankfurt (Oder) und der Oder-Spree Region. Wir bieten umfassende Beratung und Installation von Solaranlagen für private und gewerbliche Kunden. Unser erfahrenes Team garantiert höchste Qualität be","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.3445","14.5508","","true","Berlin-Brandenburg"
"ZOE Solar Bernau bei Berlin","Rathausplatz 1","Bernau bei Berlin","Brandenburg","16321","+49 3338 12345678","https://www.zoe-solar.de/standort/bernau-bei-berlin","Solaranlagenservice","ZOE Solar ist Ihr lokaler Solaranlagen-Spezialist in Bernau bei Berlin und Barnim. Wir bieten professionelle Photovoltaik-Lösungen für Eigenheime und Gewerbeobjekte mit Fokus auf Qualität und Langlebigkeit. Als regionaler Partner verstehen wir die be","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.6797","13.5832","","true","Berlin-Brandenburg"
"ZOE Solar Eberswalde","Am Markt 1","Eberswalde","Brandenburg","16225","+49 3334 12345678","https://www.zoe-solar.de/standort/eberswalde","Solaranlagenservice","ZOE Solar ist Ihr kompetenter Partner für Photovoltaik-Anlagen in Eberswalde und dem Landkreis Barnim. Wir bieten umfassende Dienstleistungen von der Beratung bis zur Installation und Wartung von Solaranlagen für jeden Bedarf. Unser Team aus qualifiz","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","52.8336","13.5956","","true","Berlin-Brandenburg"
"ZOE Solar Wien","Stephansplatz 1","Wien","Wien","1010","+43 1 12345678","https://www.zoe-solar.de/standort/wien","Solaranlagenservice","ZOE Solar ist Ihr führender Partner für Photovoltaik-Lösungen in Wien und ganz Österreich. Wir bieten professionelle Solaranlagen-Installationen und Wartungsdienstleistungen für Privathaushalte und Unternehmen in der österreichischen Hauptstadt. Als ","50","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","Geschlossen","48.2082","16.3738","","true","International"
